Year,DRG,District,ELA,Math,NGSS,DRG_num
2019,N/A,Achievement First Bridgeport Academy District,488,487,1097,0
2019,N/A,Achievement First Hartford Academy District,469,492,1091,0
2019,N/A,Amistad Academy District,474,474,1092,0
2019,G,Ansonia School District,467,439,1091,7
2019,N/A,Area Cooperative Educational Services,,,,0
2019,B,Avon School District,583,588,1120,2
2019,D,Berlin School District,537,516,1108,4
2019,D,Bethel School District,529,523,1111,4
2019,G,Bloomfield School District,477,439,1088,7
2019,C,Bolton School District,540,506,1118,3
2019,None due to lack of data,Bozrah School District,,,,0
2019,D,Branford School District,523,513,1102,4
2019,I,Bridgeport School District,435,413,1078,9
2019,G,Bristol School District,500,484,1095,7
2019,B,Brookfield School District,549,550,1105,2
2019,F,Brooklyn School District,,,,6
2019,E,Canterbury School District,,,,5
2019,B,Canton School District,565,555,1118,2
2019,N/A,Capital Preparatory Harbor School District,470,440,1090,0
2019,N/A,Capitol Region Education Council,487,458,1089,0
2019,B,Cheshire School District,571,562,1112,2
2019,D,Clinton School District,537,492,1101,4
2019,C,Colchester School District,532,509,1105,3
2019,N/A,Common Ground High School District,441,412,1081,0
2019,N/A,Connecticut Technical Education and Career System,454,434,1089,0
2019,N/A,Cooperative Educational Services,,,,0
2019,D,Coventry School District,541,532,1103,4
2019,D,Cromwell School District,525,510,1096,4
2019,H,Danbury School District,482,454,1093,8
2019,A,Darien School District,611,628,1120,1
2019,G,Derby School District,463,423,1078,7
2019,C,East Granby School District,554,518,1110,3
2019,D,East Haddam School District,541,512,1096,4
2019,E,East Hampton School District,539,501,1093,5
2019,H,East Hartford School District,458,443,1089,8
2019,G,East Haven School District,465,436,1089,7
2019,C,East Lyme School District,554,533,1110,3
2019,E,East Windsor School District,490,475,1094,5
2019,N/A,Eastern Connecticut Regional Educational Service Center (EASTCONN),484,427,1093,0
2019,None due to lack of data,Eastford School District,,,,0
2019,N/A,EdAdvance,,,,0
2019,C,Ellington School District,534,519,1111,3
2019,N/A,Elm City College Preparatory School District,478,474,1094,0
2019,D,Enfield School District,508,499,1112,4
2019,N/A,Explorations District,466,414,1093,0
2019,B,Fairfield School District,566,570,1116,2
2019,B,Farmington School District,578,575,1127,2
2019,B,Glastonbury School District,570,583,1118,2
2019,N/A,Goodwin University Educational Services (GUES),,,,0
2019,C,Granby School District,570,551,1125,3
2019,N/A,Great Oaks Charter School District,,,,0
2019,B,Greenwich School District,579,571,1124,2
2019,None due to lack of data,Griswold School District,491,461,1097,0
2019,G,Groton School District,516,502,1102,7
2019,B,Guilford School District,577,576,1117,2
2019,D,Hamden School District,497,474,1088,4
2019,I,Hartford School District,453,436,1082,9
2019,None due to lack of data,Hartland School District,,,,0
2019,N/A,Highville Charter School District,,,,0
2019,N/A,Jumoke Academy District,,,,0
2019,G,Killingly School District,502,474,1096,7
2019,N/A,Learn,525,495,1101,0
2019,F,Lebanon School District,521,509,1106,6
2019,D,Ledyard School District,517,498,1105,4
2019,C,Litchfield School District,552,523,1112,3
2019,A,Madison School District,579,579,1103,1
2019,G,Manchester School District,480,469,1085,7
2019,H,Meriden School District,453,424,1086,8
2019,G,Middletown School District,492,471,1084,7
2019,D,Milford School District,527,514,1100,4
2019,B,Monroe School District,564,570,1110,2
2019,F,Montville School District,520,479,1096,6
2019,G,Naugatuck School District,473,446,1088,7
2019,I,New Britain School District,428,412,1080,9
2019,A,New Canaan School District,618,619,1121,1
2019,C,New Fairfield School District,546,522,1099,3
2019,I,New Haven School District,444,423,1080,9
2019,I,New London School District,442,431,1080,9
2019,D,New Milford School District,530,530,1104,4
2019,D,Newington School District,536,528,1101,4
2019,C,Newtown School District,573,579,1107,3
2019,D,North Branford School District,518,504,1110,4
2019,C,North Haven School District,516,504,1097,3
2019,None due to lack of data,North Stonington School District,572,549,1124,0
2019,H,Norwalk School District,491,478,1087,8
2019,N/A,Norwich Free Academy District,497,479,1098,0
2019,H,Norwich School District,,,,8
2019,D,Old Saybrook School District,532,528,1103,4
2019,B,Oxford School District,523,489,1098,2
2019,G,Plainfield School District,488,453,1089,7
2019,G,Plainville School District,507,498,1100,7
2019,F,Plymouth School District,501,493,1090,6
2019,None due to lack of data,Portland School District,521,520,1110,0
2019,E,Preston School District,,,,5
2019,G,Putnam School District,479,435,1093,7
2019,None due to lack of data,Regional School District 01,526,480,1108,0
2019,D,Regional School District 04,565,537,1105,4
2019,B,Regional School District 05,569,563,1115,2
2019,C,Regional School District 06,535,495,1100,3
2019,C,Regional School District 07,551,562,1107,3
2019,C,Regional School District 08,565,571,1115,3
2019,C,Regional School District 09,588,587,1119,3
2019,C,Regional School District 10,554,527,1109,3
2019,E,Regional School District 11,536,523,1112,5
2019,D,Regional School District 12,558,540,1111,4
2019,C,Regional School District 13,562,535,1112,3
2019,C,Regional School District 14,526,503,1100,3
2019,B,Regional School District 15,564,569,1116,2
2019,D,Regional School District 16,543,542,1100,4
2019,C,Regional School District 17,555,544,1113,3
2019,C,Regional School District 18,580,580,1118,3
2019,D,Regional School District 19,556,572,1108,4
2019,A,Ridgefield School District,604,604,1116,1
2019,B,Rocky Hill School District,528,521,1105,2
2019,C,Salem School District,,,,3
2019,D,Seymour School District,511,493,1093,4
2019,D,Shelton School District,534,528,1106,4
2019,C,Sherman School District,,,,3
2019,B,Simsbury School District,589,577,1127,2
2019,C,Somers School District,543,518,1097,3
2019,B,South Windsor School District,557,554,1109,2
2019,C,Southington School District,532,532,1108,3
2019,F,Sprague School District,,,,6
2019,F,Stafford School District,523,510,1106,6
2019,N/A,Stamford Academy District,391,374,1062,0
2019,H,Stamford School District,497,488,1090,8
2019,None due to lack of data,Sterling School District,,,,0
2019,C,Stonington School District,551,532,1109,3
2019,G,Stratford School District,484,463,1091,7
2019,C,Suffield School District,549,525,1119,3
2019,N/A,The Bridge Academy District,443,425,1086,0
2019,N/A,The Gilbert School District,478,466,1097,0
2019,N/A,The Woodstock Academy District,520,528,1103,0
2019,E,Thomaston School District,523,491,1101,5
2019,F,Thompson School District,504,470,1089,6
2019,C,Tolland School District,558,571,1113,3
2019,G,Torrington School District,483,461,1086,7
2019,B,Trumbull School District,559,567,1123,2
2019,N/A,Unified School District #2,,,,0
2019,G,Vernon School District,504,486,1102,7
2019,None due to lack of data,Voluntown School District,,,,0
2019,D,Wallingford School District,520,502,1107,4
2019,I,Waterbury School District,435,407,1082,9
2019,D,Waterford School District,525,515,1101,4
