Year,District,ELA,Math,NGSS
2019,Avon School District,583,588,69.7
2019,Berlin School District,537,516,57.7
2019,Bethel School District,529,523,67.3
2019,Branford School District,523,513,50.2
2019,Bridgeport School District,435,413,17.1
2019,Bristol School District,500,484,41
2019,Brookfield School District,549,550,55.3
2019,Canton School District,565,555,77.3
2019,Capitol Region Education Council,487,458,32.1
2019,Cheshire School District,571,562,65.6
2019,Clinton School District,537,492,48.8
2019,Colchester School District,532,509,58.5
2019,Connecticut Technical Education and Career System,454,434,30.8
2019,Coventry School District,541,532,57.1
2019,Cromwell School District,525,510,36.5
2019,Danbury School District,482,454,38.2
2019,Darien School District,611,628,76.5
2019,Derby School District,463,423,17.6
2019,East Hampton School District,539,501,37.9
2019,East Hartford School District,458,443,34.1
2019,East Lyme School District,554,533,62
2019,Enfield School District,508,499,68.4
2019,Fairfield School District,566,570,73.3
2019,Farmington School District,578,575,84.4
2019,Glastonbury School District,570,583,72.9
2019,Granby School District,570,551,80.8
2019,Greenwich School District,579,571,81.7
2019,Griswold School District,491,461,42.9
2019,Groton School District,516,502,49.8
2019,Guilford School District,577,576,73.9
2019,Hamden School District,497,474,27.7
2019,Hartford School District,453,436,21.6
2019,Killingly School District,502,474,35.2
2019,Learn,525,495,47.6
2019,Ledyard School District,517,498,57.7
2019,Madison School District,579,579,49.8
2019,Manchester School District,480,469,24.9
2019,Meriden School District,453,424,28.2
2019,Middletown School District,492,471,27.5
2019,Milford School District,527,514,51.8
2019,Monroe School District,564,570,66.4
2019,Montville School District,520,479,42.9
2019,Naugatuck School District,473,446,29.5
2019,New Britain School District,428,412,16.6
2019,New Canaan School District,618,619,75.4
2019,New Fairfield School District,546,522,48.1
2019,New Haven School District,444,423,17.2
2019,New London School District,442,431,18.4
2019,New Milford School District,530,530,55.9
2019,Newington School District,536,528,52.8
2019,Newtown School District,573,579,59.7
2019,North Haven School District,516,504,41.4
2019,Norwalk School District,491,478,27.3
2019,Norwich Free Academy District,497,479,48.4
2019,Old Saybrook School District,532,528,52.7
2019,Oxford School District,523,489,43.5
2019,Plainville School District,507,498,48.7
2019,Regional School District 04,565,537,54.5
2019,Regional School District 05,569,563,71.3
2019,Regional School District 07,551,562,64.1
2019,Regional School District 08,565,571,64.5
2019,Regional School District 09,588,587,75.9
2019,Regional School District 10,554,527,61.5
2019,Regional School District 13,562,535,64.8
2019,Regional School District 15,564,569,72.3
2019,Regional School District 16,543,542,51.8
2019,Regional School District 17,555,544,68.3
2019,Regional School District 18,580,580,71.4
2019,Regional School District 19,556,572,59.5
2019,Ridgefield School District,604,604,70.6
2019,Rocky Hill School District,528,521,55.4
2019,Seymour School District,511,493,32.5
2019,Shelton School District,534,528,59.3
2019,Simsbury School District,589,577,82.6
2019,Somers School District,543,518,41.1
2019,South Windsor School District,557,554,63.4
2019,Southington School District,532,532,62.5
2019,Stamford School District,497,488,33.3
2019,Stonington School District,551,532,59.9
2019,Stratford School District,484,463,33.7
2019,Suffield School District,549,525,75.4
2019,The Woodstock Academy District,520,528,53.4
2019,Tolland School District,558,571,71.1
2019,Torrington School District,483,461,25.4
2019,Trumbull School District,559,567,82.9
2019,Vernon School District,504,486,53.3
2019,Wallingford School District,520,502,60.9
2019,Waterbury School District,435,407,19.3
2019,Waterford School District,525,515,52.3
2019,Watertown School District,495,482,37.8
2019,West Hartford School District,566,556,76.7
2019,West Haven School District,469,436,38.3
2019,Weston School District,604,590,83.7
2019,Westport School District,612,610,81.3
2019,Wethersfield School District,527,514,49.1
2019,Wilton School District,614,595,71
2019,Windham School District,441,420,15.9
2019,Windsor School District,489,468,47.5
2022,Avon School District,576,574,76.9
2022,Berlin School District,522,516,59.7
2022,Bethel School District,519,508,66.9
2022,Branford School District,495,472,41.9
2022,Bridgeport School District,434,408,15.7
2022,Bristol School District,482,462,39.1
2022,Brookfield School District,539,530,57.6
2022,Canton School District,548,531,65.8
2022,Capitol Region Education Council,445,419,21.9
2022,Cheshire School District,553,541,56.3
2022,Clinton School District,519,513,51.3
2022,Colchester School District,516,516,51.2
2022,Connecticut Technical Education and Career System,440,420,31.1
2022,Coventry School District,510,497,53.9
2022,Cromwell School District,508,507,57.2
2022,Danbury School District,457,434,22.4
2022,Darien School District,599,617,69.7
2022,Derby School District,467,432,16.4
2022,East Hampton School District,502,479,46.3
2022,East Hartford School District,448,436,30.8
